"_ResourceId",duration,"sum_ItemCount"
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",5,415
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",6,16572
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",7,45128
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",8,39234
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",9,24857
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",10,17086
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",11,11326
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",12,7170
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",13,5073
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",14,3363
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",15,2310
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",16,1688
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",17,1450
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",18,1143
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",19,758
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",20,613
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",21,465
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",22,231
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",23,204
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",24,173
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",25,357
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",26,196
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",27,31
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",28,61
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",29,141
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",30,58
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",32,32
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",33,29
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",34,59
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",36,57
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",37,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/mid-docker",38,1
