"_ResourceId",duration,"count_"
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",6,6
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",7,311
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",8,2506
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",9,2158
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",10,603
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",11,200
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",12,94
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",13,86
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",14,59
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",15,22
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",16,26
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",17,10
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",18,5
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",19,5
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",20,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",21,4
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",22,3
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",23,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",24,4
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",25,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",26,3
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",27,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",30,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",34,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",37,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",41,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",46,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",48,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",91,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",103,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",159,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",317,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",1167,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/low-docker",1356,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/high-docker",5,6
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/high-docker",6,317
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/high-docker",7,1467
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/high-docker",8,1455
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/webshop-log/providers/microsoft.insights/components/high-docker",9,906
